TICID,Tmag,RA,Dec,Nsector
38461453,13.49,61.1804,-64.8088,26
38461578,10.99,61.2338,-65.2174,25
38461594,9.29,61.0893,-65.2538,26
38461883,9.18,61.3487,-65.7906,13
38462360,11.6,61.4054,-64.2832,13
38462406,12.21,61.5157,-64.0973,20
38462407,8.69,61.5076,-64.0939,33
38462643,14.05,61.3915,-63.3437,20
38466803,13.57,61.4173,-61.5,15
38467928,10.64,61.7137,-62.1648,17
38468130,10.05,61.655,-62.8209,19
38468276,11.18,61.7569,-63.2289,19
38468952,9.46,61.7084,-65.407,25
38469010,12.92,61.7068,-65.572,13
38469354,11.89,62.0319,-65.2692,13
38469560,8.05,61.9716,-64.604,21
38469670,5.78,61.843,-64.2201,33
38469800,9.83,62.0395,-63.7926,25
38469934,9.28,62.0061,-63.3337,14
38470052,12.77,61.9247,-62.9855,21
38470115,8.42,61.9651,-62.7624,28
38506944,8.49,61.9742,-60.5242,15
38507576,13.05,62.1634,-61.2656,22
38507813,13.43,62.2324,-61.9373,17
38507842,11.75,62.1842,-62.026,17
38507951,11.79,62.1993,-62.3817,20
38507963,11.34,62.1695,-62.4123,19
38508395,10.74,62.135,-63.7895,25
38508526,11.36,62.1033,-64.3071,25
38508639,10.72,62.2508,-64.6606,26
38508644,9.95,62.2659,-64.7016,13
38509758,11.28,62.4214,-63.2844,13
38509907,11.98,62.3802,-62.8503,31
38510224,11.75,62.5162,-61.9428,27
38510324,6.62,62.531,-61.5995,24
38510577,13.18,62.3838,-60.7522,14
38515255,10.57,62.6151,-62.179,20
38515329,8.02,62.7588,-62.4473,20
38515566,8.85,62.7659,-63.1605,13
38515801,13.27,62.5521,-63.856,33
38515807,9.77,62.7588,-63.8795,13
38516117,9.46,62.6457,-64.7973,13
38516267,8.16,62.5914,-65.3302,33
38516338,10.7,62.6405,-65.5692,25
38516712,9.58,62.9483,-65.0322,13
38517036,12.7,62.9768,-63.9986,13
38517724,10.58,62.9677,-62.2181,21
38517744,10.4,62.9559,-62.1682,21
38518773,12.71,63.1948,-60.8882,24
38518913,13.92,63.0979,-61.2408,16
38519052,10.41,63.2586,-61.6419,18
38570567,11.26,63.1511,-63.048,13
38570936,10.34,63.15,-64.1135,25
38570985,9.08,63.1582,-64.2549,14
38571020,10.18,63.1995,-64.3479,33
38571268,11.27,63.1415,-65.0889,13
38572209,10.81,63.3974,-63.9005,24
38572873,11.08,63.2813,-61.8695,19
38572963,13.69,63.4891,-61.5627,18
38573074,8.43,63.495,-61.1645,23
38573584,8.45,63.5856,-60.2084,15
38573641,8.38,63.7259,-60.3737,22
38574033,15.68,63.6854,-61.6522,26
38574220,4.5,63.7022,-62.1912,33
38574307,2.5,63.6067,-62.4735,35
38583375,7.59,63.5916,-64.9681,26
38583513,14.26,63.5297,-65.4133,34
38583536,12.75,63.7211,-65.4862,22
38583537,10.15,63.7272,-65.4886,34
38584652,12.62,63.9814,-63.2118,16
38584748,14.0,63.9791,-62.8727,26
38585015,12.9,63.7728,-62.1245,18
38585033,13.72,63.7985,-62.0701,24
38585053,13.89,63.8103,-62.0028,22
38585926,11.18,64.0295,-60.4596,14
38586082,6.31,64.0879,-60.9484,25
38586127,9.79,64.1214,-61.0837,17
38586374,11.73,63.9929,-61.8254,22
38586416,10.71,64.0459,-61.9363,23
38586438,11.67,64.0892,-62.0134,32
38586707,10.36,64.0499,-62.8772,26
38586863,8.86,64.2051,-63.3349,33
38587180,7.69,64.1641,-64.3154,25
38587275,11.14,64.1615,-64.5536,25
38587506,9.43,64.1411,-65.1479,13
38587665,8.15,64.2061,-65.6298,34
38587771,8.24,64.141,-65.9113,23
38600576,8.41,64.4307,-65.7099,34
38600988,9.18,64.3778,-65.0783,13
38601129,9.76,64.4595,-64.8508,13
38601557,10.2,64.345,-64.2654,25
38601878,12.86,64.278,-63.867,13
38602091,11.1,64.3792,-63.5598,25
38602305,6.16,64.4179,-63.2552,35
38602307,7.18,64.4179,-63.2544,13
38602419,7.74,64.3212,-63.0968,35
38603673,9.55,64.4151,-61.392,16
38604353,11.05,64.3154,-60.4821,18
38607156,9.66,64.4746,-63.233,13
38607298,11.1,64.6393,-63.4255,13
38608850,10.85,64.6238,-65.3474,26
38608863,10.99,64.6073,-65.3558,13
38608928,11.2,64.5432,-65.4397,24
38608953,12.14,64.5778,-65.4738,13
38608972,12.57,64.5553,-65.5003,13
38609021,11.09,64.5842,-65.5592,25
38609671,11.21,64.9509,-65.4549,22
38609673,11.39,64.9534,-65.4548,35
38610352,10.87,64.7262,-64.5908,25
38632201,12.68,64.8247,-62.7771,13
38632722,8.1,64.8391,-61.2625,13
38633243,12.49,65.0436,-60.2562,18
38633258,10.03,65.1902,-60.3025,18
